cert_episode_violation_rate,uncert_episode_violation_rate,cert_violation_rate,uncert_violation_rate,cert_time_to_first_violation,uncert_time_to_first_violation,cert_integrated_slack,uncert_integrated_slack,cert_max_violation,uncert_max_violation,num_corrections,total_correction_magnitude,max_correction,mean_correction,correction_rate,cert_mean_action_rate,cert_max_action_rate,uncert_mean_action_rate,uncert_max_action_rate,cert_control_effort_l1,uncert_control_effort_l1,cert_control_effort_l2,uncert_control_effort_l2,cert_compute_time_total,cert_compute_time_per_step,uncert_compute_time_total,uncert_compute_time_per_step,experiment,ablation,seed,horizon,cost_horizon,max_w,terminal_set
1.0,1.0,0.07947019867549669,0.6744186046511628,0,2,1.2700995903634662,21.996300363193768,0.028279209757961304,1.8504702676613778,742,5633.399840756491,17.96950232970409,7.592183073752849,0.9827814569536424,0.07227631424248693,1.6403297234906393,0.04714519903063774,0.30374979972839355,96.50802967005524,24.835725784301758,31.220741712968415,16.536890029907227,1.9581556810007896,0.0025935836834447543,0.05524664699987625,0.0012848057441831686,no_correction_bonus_h20_ch10_w0.002_tsfalse,no_correction_bonus,42,20,10,0.002,False
1.0,1.0,0.4728476821192053,0.6352941176470588,0,2,6.545035153241692,31.271615645916157,0.028279209757961304,1.6983557739869704,725,5572.210018848526,17.49489703623209,7.685806922453666,0.9602649006622517,0.0851580804114833,1.0711603099110971,0.07209153473377228,0.8039764165878296,119.3776716266529,13.285137176513672,36.38276674572252,3.7529497146606445,2.106446952000624,0.002789995962914734,0.08528585499880137,0.0010033629999858984,no_correction_bonus_h20_ch10_w0.005_tsfalse,no_correction_bonus,42,20,10,0.005,False
1.0,1.0,0.5748344370860927,0.6883116883116883,0,2,9.768207082394111,33.50085187518676,0.028279209757961304,1.8018652917443063,727,5841.1640858866995,16.396198441917186,8.03461359808588,0.9629139072847682,0.07718084913732251,1.048891747459432,0.07535986602306366,0.8728438019752502,133.09868935548403,16.058792114257812,38.62920529261146,6.761295795440674,2.250501004000398,0.002980796031788607,0.07979725799850712,0.001036328025954638,no_correction_bonus_h20_ch6_w0.001_tsfalse,no_correction_bonus,42,20,6,0.001,False
1.0,1.0,0.07947019867549669,0.6744186046511628,0,2,1.2700995903634662,21.996300363193768,0.028279209757961304,1.8504702676613778,742,5633.399840756491,17.96950232970409,7.592183073752849,0.9827814569536424,0.07227631424248693,1.6403297234906393,0.04714519903063774,0.30374979972839355,96.50802967005524,24.835725784301758,31.220741712968415,16.536890029907227,2.466064799000378,0.003266310992053481,0.06233296199934557,0.0014496037674266412,no_correction_bonus_h20_ch6_w0.002_tsfalse,no_correction_bonus,42,20,6,0.002,False
1.0,1.0,0.4728476821192053,0.6352941176470588,0,2,6.545035153241692,31.271615645916157,0.028279209757961304,1.6983557739869704,725,5572.210018848526,17.49489703623209,7.685806922453666,0.9602649006622517,0.0851580804114833,1.0711603099110971,0.07209153473377228,0.8039764165878296,119.3776716266529,13.285137176513672,36.38276674572252,3.7529497146606445,2.3793211270003667,0.0031514187112587637,0.10445216300104221,0.0012288489764828495,no_correction_bonus_h20_ch6_w0.005_tsfalse,no_correction_bonus,42,20,6,0.005,False
1.0,1.0,0.5748344370860927,0.6883116883116883,0,2,9.768207082394111,33.50085187518676,0.028279209757961304,1.8018652917443063,727,5841.1640858866995,16.396198441917186,8.03461359808588,0.9629139072847682,0.07718084913732251,1.048891747459432,0.07535986602306366,0.8728438019752502,133.09868935548403,16.058792114257812,38.62920529261146,6.761295795440674,2.239435137000328,0.00296613925430507,0.09449892299926432,0.001227258740250186,no_correction_bonus_h20_ch8_w0.001_tsfalse,no_correction_bonus,42,20,8,0.001,False
1.0,1.0,0.07947019867549669,0.6744186046511628,0,2,1.2700995903634662,21.996300363193768,0.028279209757961304,1.8504702676613778,742,5633.399840756491,17.96950232970409,7.592183073752849,0.9827814569536424,0.07227631424248693,1.6403297234906393,0.04714519903063774,0.30374979972839355,96.50802967005524,24.835725784301758,31.220741712968415,16.536890029907227,1.8935761929988075,0.002508047937746765,0.07433282000056352,0.0017286702325712445,no_correction_bonus_h20_ch8_w0.002_tsfalse,no_correction_bonus,42,20,8,0.002,False
1.0,1.0,0.4728476821192053,0.6352941176470588,0,2,6.545035153241692,31.271615645916157,0.028279209757961304,1.6983557739869704,725,5572.210018848526,17.49489703623209,7.685806922453666,0.9602649006622517,0.0851580804114833,1.0711603099110971,0.07209153473377228,0.8039764165878296,119.3776716266529,13.285137176513672,36.38276674572252,3.7529497146606445,1.9214972349982418,0.002545029450328797,0.09839375199953793,0.0011575735529357402,no_correction_bonus_h20_ch8_w0.005_tsfalse,no_correction_bonus,42,20,8,0.005,False
1.0,1.0,0.2980132450331126,0.6274509803921569,0,2,3.1931298022844565,24.086488442302947,0.028279209757961304,1.8441878492976407,574,3194.9461374953726,19.038066687734467,5.566108248912816,0.7602649006622516,0.18364149317427278,1.697163260641391,0.17523297667503357,1.0667898654937744,190.18521714531832,33.74870681762695,73.76138185452491,30.945051193237305,2.000630259999525,0.002649841403972881,0.07518202199935331,0.001474157294104967,no_correction_mag_h20_ch10_w0.001_tsfalse,no_correction_mag,42,20,10,0.001,False
1.0,1.0,0.5483443708609271,0.6607142857142857,0,3,9.255553120222107,25.7513728300735,0.028279209757961304,1.8643471251816879,703,5581.328145560115,19.31760933958411,7.939300349008509,0.9311258278145695,0.09158369096878079,1.363583366039663,0.08615373820066452,0.805701494216919,142.14917047813498,23.07131576538086,47.163332964646294,12.831538200378418,1.9135768199994345,0.002534538834436337,0.06265972099936334,0.0011189235892743454,no_correction_mag_h20_ch10_w0.002_tsfalse,no_correction_mag,42,20,10,0.002,False
