experiment,seed,num_corrections,total_correction_magnitude,max_correction,avg_correction,episode_length_cert,episode_length_uncert,constraint_violations_cert,constraint_violations_uncert,rmse_cert,rmse_uncert,theta_max,theta_dot_max
no_cart_penalty,42,101,12.021503982802138,2.0556101192121297,0.7152953574680099,150,150,0,26,1.0797794373402716,1.1535087735077447,0.12961847823435677,0.5155318476692928
no_cart_penalty,62,101,12.021503982802138,2.0556101192121297,0.7152953574680099,150,150,0,26,1.0797794373402716,1.1535087735077447,0.12961847823435677,0.5155318476692928
no_cart_penalty,821,101,12.021503982802138,2.0556101192121297,0.7152953574680099,150,150,0,26,1.0797794373402716,1.1535087735077447,0.12961847823435677,0.5155318476692928
w_correction_10,42,150,109.38467821891729,16.560527180281603,8.70374168584148,150,16,127,13,2.021956887479369,0.9240522204214834,0.1609016390357279,1.0489939862741058
w_correction_10,62,150,109.38467821891729,16.560527180281603,8.70374168584148,150,16,127,13,2.021956887479369,0.9240522204214834,0.1609016390357279,1.0489939862741058
w_correction_10,821,150,109.38467821891729,16.560527180281603,8.70374168584148,150,16,127,13,2.021956887479369,0.9240522204214834,0.1609016390357279,1.0489939862741058
w_correction_50,42,29,2.5890366004922685,0.8722710412522123,0.0795528793326631,150,150,0,0,1.0329225868202114,0.9143220403714628,0.10445588079614121,0.4838162619661014
w_correction_50,62,29,2.5890366004922685,0.8722710412522123,0.0795528793326631,150,150,0,0,1.0329225868202114,0.9143220403714628,0.10445588079614121,0.4838162619661014
w_correction_50,821,29,2.5890366004922685,0.8722710412522123,0.0795528793326631,150,150,0,0,1.0329225868202114,0.9143220403714628,0.10445588079614121,0.4838162619661014
temp_5,42,103,12.637932838313944,2.3707999772090136,0.7665535488683178,150,150,4,45,1.42622565882761,1.299689992849878,0.12365097522769619,0.5894284973333113
temp_5,62,103,12.637932838313944,2.3707999772090136,0.7665535488683178,150,150,4,45,1.42622565882761,1.299689992849878,0.12365097522769619,0.5894284973333113
temp_5,821,103,12.637932838313944,2.3707999772090136,0.7665535488683178,150,150,4,45,1.42622565882761,1.299689992849878,0.12365097522769619,0.5894284973333113
temp_30,42,147,63.51488602396158,9.779911754607618,4.30243304343079,150,64,0,31,1.81563187242149,1.0058255135551515,0.15940685004446445,0.44773858982818804
temp_30,62,147,63.51488602396158,9.779911754607618,4.30243304343079,150,64,0,31,1.81563187242149,1.0058255135551515,0.15940685004446445,0.44773858982818804
temp_30,821,147,63.51488602396158,9.779911754607618,4.30243304343079,150,64,0,31,1.81563187242149,1.0058255135551515,0.15940685004446445,0.44773858982818804
no_safe_reset,42,102,14.974838877068233,2.520958944773012,0.8533596894236748,150,150,0,54,1.2440413025573958,1.3776423772074617,0.13888372182328246,0.4024413621895436
no_safe_reset,62,102,14.974838877068233,2.520958944773012,0.8533596894236748,150,150,0,54,1.2440413025573958,1.3776423772074617,0.13888372182328246,0.4024413621895436
no_safe_reset,821,102,14.974838877068233,2.520958944773012,0.8533596894236748,150,150,0,54,1.2440413025573958,1.3776423772074617,0.13888372182328246,0.4024413621895436
